acceptance;stock_amount;cost;curr_stock_price;paid_stock_price;proportion;personality;life_time;buyer_name;seller_name;stock_owner_name
N;2801;78196;29.38;27.92;0.95;R;7382;company3;company6;company6
N;2875;86625;29.23;30.13;1.03;A;10772;company1;company2;company2
N;2426;78181;28.74;32.23;1.12;R;10888;company3;company6;company6
Y;2255;76874;23.05;34.09;1.48;R;12908;company4;company7;company7
N;3580;122693;35.16;34.27;0.97;R;16369;company7;company5;company5
Y;1485;66697;30.17;44.91;1.49;R;20413;company6;company8;company8
Y;2075;86621;27.48;41.75;1.52;R;21435;company1;company10;company10
Y;2395;114421;35.33;47.77;1.35;R;24378;company9;company5;company5
Y;241;7663;22.40;31.80;1.42;R;27981;company4;company7;company7
N;5187;156943;26.84;30.26;1.13;R;36457;company7;company8;company8
N;2240;78182;28.35;34.90;1.23;R;38957;company3;company6;company6
N;28;775;29.19;27.68;0.95;R;42464;company4;company6;company6
Y;3343;264677;44.17;79.17;1.79;R;42538;company10;company11;company11
Y;2878;78176;22.30;27.16;1.22;R;43056;company3;company7;company7
N;3731;252741;51.80;67.74;1.31;A;48536;company7;company1;company1
Y;867;34016;29.11;39.23;1.35;R;49472;company10;company6;company6
Y;2957;202164;50.36;68.37;1.36;R;51516;company11;company9;company9
Y;2761;190188;43.45;68.88;1.59;A;52462;company8;company4;company4
N;1732;63890;36.99;36.89;1.00;R;56421;company6;company5;company5
N;5001;170233;30.23;34.04;1.13;A;57769;company4;company3;company3
Y;27;2374;50.58;87.91;1.74;A;60550;company10;company1;company1
Y;4242;171993;27.93;40.55;1.45;R;70508;company4;company6;company6
Y;4376;135823;24.09;31.04;1.29;R;70611;company5;company7;company7
Y;485;19705;26.84;40.63;1.51;R;72506;company1;company8;company8
Y;2488;165676;51.33;66.59;1.30;R;77613;company6;company11;company9
Y;4444;159296;24.21;35.85;1.48;R;78644;company7;company10;company10
Y;2659;91104;25.87;34.26;1.32;R;13901;company10;company7;company7
Y;3205;90123;17.62;28.12;1.60;R;16268;company9;company3;company3
N;3462;81638;20.49;23.58;1.15;R;18402;company5;company6;company6
Y;2815;78626;19.77;27.93;1.41;R;27408;company7;company6;company6
